<RES>My countrymen and women of the radio audience Of the untold values of the radio , one is the great intimacy it has brought among our people.|Through its mysterious channels we come to wider acquaintance with surroundings and men.|The greatest strength of the radio is the intimacy of its listeners.| The great gift of the radio to all members of our community |8.074225324610271|8.455606898405858|3.9843176230698334
<RES>Many people are under the impression that this bill would prevent or settle a strike in the coal industry.|I sincerely trust that the coal operators and the miners will soon come to an agreement on the terms of a contract and that there will be no interruption of coal mining.|The bill would allow a strike in the coal industry if the company has a reasonable chance of winning the right to strike.| The bill would create a situation in the coal industry where coal workers have little real chance in gaining the right to strike |4.055914424166797|5.303076049002209|2.5429620988366746
<RES>I sincerely trust that the coal operators and the miners will soon come to an agreement on the terms of a contract and that there will be no interruption of coal mining.|But if the miners and the operators do not reach agreement , and if this bill should become law , it is likely that the most that could be accomplished under the complicated procedures of the bill would be postponement of a strike from July until October.|The coal operators will be free to mine the mines in their own territory, and they will be allowed to mine in their own territory, without interference from the government.| The coal operators will be able to mine the coal in their own territory , but they will also have to work in their own territory , as employees of the mine |2.6270397055772636|5.489628549692736|3.5765015238623463
<RES>But if the miners and the operators do not reach agreement , and if this bill should become law , it is likely that the most that could be accomplished under the complicated procedures of the bill would be postponement of a strike from July until October.|Under this bill a work stoppage in the coal mines might be prevented for 80 days and then , if agreement had not been reached , the miners would be free to strike , and it would be mandatory for the President to refer the whole matter to Congress , even if Congress were not in session.|The bill is expected to be introduced by the end of the month.| The bill is expected to pass completely without a vote by the miners |3.210348350797642|4.08449635380066|3.8850033720125134
<RES>Under this bill a work stoppage in the coal mines might be prevented for 80 days and then , if agreement had not been reached , the miners would be free to strike , and it would be mandatory for the President to refer the whole matter to Congress , even if Congress were not in session.|Postponing a strike in the coal industry until the approach of winter , when our need for coal is acute , is certainly not the way to protect the Nation against the dangers of a shortage of coal.|The miners could also strike if they had not agreed to the strike.| The bill would be adopted unanimously , passed and passed unanimously by Congress |3.6619452468659217|3.7635231617518734|2.391201625866272
<RES>Postponing a strike in the coal industry until the approach of winter , when our need for coal is acute , is certainly not the way to protect the Nation against the dangers of a shortage of coal.|The bill would not aid fair and early settlements of disputes in vital industries.|The United States has been in a state of crisis for a century.| The Canadian government does not have a direct legal basis for the strike |4.340026644772702|4.451519428227642|2.012861305293828
<RES>The bill would not aid fair and early settlements of disputes in vital industries.|We have been told , by the supporters of the Taft Hartley bill , that it would reduce industrial strife.|It would not help the poor and needy.| It would be the most economically viable option |14.003736519179283|19.244844450628122|6.117942039414918
<RES>We have been told , by the supporters of the Taft Hartley bill , that it would reduce industrial strife.|On the contrary , I am convinced that it would increase industrial strife.|The Taft Hartley bill has been passed by the House and Senate.| The Hartley bill has not been passed by members of Congress yet |19.609495218451478|19.575157422736893|8.063296545040892
<RES>On the contrary , I am convinced that it would increase industrial strife.|The bill would soon upset security clauses in thousands of existing agreements between labor and management.|The United States has a long history of fighting wars in the Middle East and in the Middle East, and I am convinced that it will continue to do so.| The United States has a long history of occupying power in the world , especially in the Middle East , and I am sure whoever it was would do just that |9.481779460562926|8.611861911039247|2.027911396859729
<RES>The bill would soon upset security clauses in thousands of existing agreements between labor and management.|These agreements were mutually arrived at and furnish a satisfactory basis for relations between worker and employer.|"We are going to be very disappointed with the bill, because it's going to put workers at risk," said David B.| " They are going to be very worried about the company , and it ' s going to put them at risk , " he said Obama |8.19926239987723|16.48889179597421|4.553564746738053
<RES>These agreements were mutually arrived at and furnish a satisfactory basis for relations between worker and employer.|They provide stability in industry.|In the event of any dispute between worker and employer, the parties are bound to seek a mutually satisfactory resolution of the matter.| In the event of a dispute between worker and employer , both parties were required to reach a mutually acceptable resolution to the dispute |23.64250993241349|11.240533846492976|5.054025313627619
<RES>They provide stability in industry.|With their present types of agreements outlawed by this bill , the parties would have to find a new basis for agreement.|They are not a threat to the public.| They are active , especially in the winter |12.86969872520311|97.00785050446085|10.816376362635358
<RES>With their present types of agreements outlawed by this bill , the parties would have to find a new basis for agreement.|The restrictions in this bill would make the process of reaching new agreements a long and bitter one.|"We're not going to have a new agreement.| But it was not always easy to find a new basis |5.404716897553068|16.65652971728724|9.173136511191572
<RES>The restrictions in this bill would make the process of reaching new agreements a long and bitter one.|The bill would increase industrial strife because a number of its provisions deprive workers of legal protection of fundamental rights.|The bill also includes a new provision that would allow the Department of Justice to require that companies that are required to pay for the use of a computer system that was used to make the computer system, or that was used to make a computer system that was not used to make the computer system, file a complaint with the Department of Justice, or otherwise file a complaint wit.| The bill also included a new provision that would allow the Department of Justice to require that companies that were required to apply for a contract build a computer system that was used to build the computer system , one that was used to build the computer system that was not required to build the computer system , file a complaint with the Department of Justice , or to file a complaint online |6.378607022600239|3.6339251153016137|1.6141045250232717
<RES>The bill would increase industrial strife because a number of its provisions deprive workers of legal protection of fundamental rights.|They would then have no means of protecting these rights except by striking.|The bill would also allow the government to take measures to protect workers' rights, including the right to a fair wage, the right to a fair trial and the right to a fair trial in court, according to the bill's sponsor, Rep.| The bill would also require the government to take measures to protect workers ' rights , including the introduction of a fair trial , right right to a fair trial and the right to a fair trial in court , according to the country ' s constitution and laws |8.096200692049772|7.339134538079903|2.7881920270888383
<RES>They would then have no means of protecting these rights except by striking.|The bill would open up opportunities for endless law suits by employers against unions and by unions against employers.|The court ruled that the government's argument was based on the "unconstitutionality" of the law, and that the law was not unconstitutional.| The Court held that the government ' s actions were inconsistent with the " constitutional ##ity " of the law , and that the law was not constitutional |8.185507850254954|32.16913161010825|2.222084593119839
<RES>The bill would open up opportunities for endless law suits by employers against unions and by unions against employers.|For example , it would make employers vulnerable to an immense number of law suits , since grievances , however minor , could be taken into court by dissatisfied workers.|"This is a big step forward in our fight to keep workers' rights protected," said Rep.| " This is just one step forward , an effort to end the civil rights movement , " said Smith |4.379149654620069|16.336115850366227|2.87620188127402
<RES>For example , it would make employers vulnerable to an immense number of law suits , since grievances , however minor , could be taken into court by dissatisfied workers.|Insofar as employers are concerned , I predict that if this bill should become law they would regret the day that it was conceived.|The court would then decide whether to award a wage increase to the employer, or to reduce the wage.| The courts would then decide whether to allow employers to continue using their land or whether to increase their wages |3.859273246178138|7.0790450254551525|7.849299780271439
<RES>Insofar as employers are concerned , I predict that if this bill should become law they would regret the day that it was conceived.|It is loaded with provisions that would plague and hamper management.|The legislation was passed in the Senate and is now awaiting a vote.| The bill was passed by the Senate , while awaiting its final approval |13.28526303404461|7.059546892164241|9.354700501390752
<RES>It is loaded with provisions that would plague and hamper management.|It is filled with hidden legal traps that would take labor relations out of the plant , where they belong , and place them in the courts.|"The only thing we can do now is to make it a priority for the next government to get it done.| " The only way we can leave now is to wait here long enough for the heavy winds to weigh us down |10.207551061823956|27.143819243391157|8.994401646510758
<RES>It is filled with hidden legal traps that would take labor relations out of the plant , where they belong , and place them in the courts.|Another defect is that in trying to correct labor abuses the Taft Hartley bill goes so far that it would threaten fundamental democratic freedoms.|The government has already been forced to pay the workers a huge sum of money for their labor, and the government has already been forced to pay the workers a huge sum of money for their labor, and the government has already been forced to pay the workers a huge sum of money for their labor, and the government has already been forced to pay the workers a huge sum of mone.| The government has already been forced to pay the workers a huge sum of money for their labor , and the government has already been forced to pay the workers a huge sum of money for their labor , and the government has already been forced to pay the workers a huge sum of money for their labor , and the government has already been forced to pay the workers a huge sum of mon ##ies |6.288890692534387|3.7966377136073746|1.4103951657829705
<RES>Another defect is that in trying to correct labor abuses the Taft Hartley bill goes so far that it would threaten fundamental democratic freedoms.|One provision undertakes to prevent political contributions and expenditures by labor organizations and corporations.|The Taft Hartley bill, which passed the Senate in March, is the latest attempt by the Obama administration to undo decades of progressive reforms to the labor market.| The Taft Hartley Act , first passed by Congress in January 1919 was the first attempt by the federal government to und ##o decades of sex ##ism in the labor movement |13.882854276298831|13.82705207226629|10.114536689169363
<RES>One provision undertakes to prevent political contributions and expenditures by labor organizations and corporations.|This provision would forbid a union newspaper from commenting on candidates in national elections.|(Sec.| c |9.516024174063444|31.521211670266965|54.488992808084845
<RES>This provision would forbid a union newspaper from commenting on candidates in national elections.|It might well prevent an incorporated radio network from spending any money in connection with the national convention of a political party.|The union's chief executive, John P.| The chief operating officer and CEO is David Smith |5.105712481406759|24.86398550174433|10.943779843614628
<RES>It might well prevent an incorporated radio network from spending any money in connection with the national convention of a political party.|It might even prevent the League of Women Voters which is incorporated from using its funds to inform its members about the record of a political candidate.|But it is not a guarantee of the future.| Heavy industry is an important industry in the area |4.130903432734275|8.12277210219223|2.9097157363582564
<RES>It might even prevent the League of Women Voters which is incorporated from using its funds to inform its members about the record of a political candidate.|I regard this provision of the Taft Hartley bill as a dangerous challenge to free speech and our free press.|"The League of Women Voters is a non-profit organization and does not endorse or support political candidates.| " The League " of V ##oters is a non - profit organization which can only help register and support political candidates |7.384353007823424|10.70753903684056|1.9298787418202832
<RES>I regard this provision of the Taft Hartley bill as a dangerous challenge to free speech and our free press.|One of the basic errors of this bill is that it ignores the fact that over the years we have been making real progress in labor management relations.|We have a responsibility as a society to ensure that free speech is respected and that the public is informed about what is being said and what is being said.| We have positioned ourselves as a party to ensuring that our press is free and that the public is aware of what is being said and what is being said |8.748288238099873|8.100218611098848|4.6817868069100195
<RES>One of the basic errors of this bill is that it ignores the fact that over the years we have been making real progress in labor management relations.|We have been achieving slow but steady improvement in cooperation between employers and workers.|The fact that the American people have been able to see through the system and understand the problems we are facing is an enormous benefit to our country.| The fact that the American people have been able to understand about our situation and understand the problems we are facing is an enormous problem for our country |5.135916783792347|3.548046316323927|3.4968698787173174
<RES>We have been achieving slow but steady improvement in cooperation between employers and workers.|We must always remember that under our free economic system management and labor are associates.|We are working to improve the quality of work and to improve the quality of our services.| We are committed to improving the lives of workers and improving the working conditions for the workers |13.038168671454168|11.341358270182262|4.220042019154831
<RES>We must always remember that under our free economic system management and labor are associates.|They work together for their own benefit and for the benefit of the public.|We are the workers.| It is to be |12.84494849280159|35.90411926637574|9.735319054199564
<RES>They work together for their own benefit and for the benefit of the public.|The Taft Hartley bill fails to recognize these fundamental facts.|"The government is not going to allow this to happen.| The village is not yet known to have had any electricity |26.525175256213217|29.355582896518467|3.6723154546773884
<RES>The Taft Hartley bill fails to recognize these fundamental facts.|Many provisions of the bill would have the result of changing employers and workers from members of the same team to opponents on contending teams.|The bill would have required that a person be convicted of a felony for any offense committed in a public place or on public property.| The bill also explicitly requires that a person be convicted of a f ##elo ##ny , an offense committed in a public place or on private property |23.143723781217606|11.911223736973591|4.3888341840700145
<RES>Many provisions of the bill would have the result of changing employers and workers from members of the same team to opponents on contending teams.|I feel deep concern about what this would do to the steady progress we have made through the years.|The bill would also change the definition of a team to include a team with a minimum of two players and a maximum of three players.| The bill would also expand the size of the league to include a league with a maximum of six players and a minimum of eight players |9.249377090200683|7.040945955829613|7.367301388157321
<RES>I feel deep concern about what this would do to the steady progress we have made through the years.|I fear that this type of legislation would cause the people of our country to divide into opposing groups.|I'm sure that we will continue to make progress in the future.| I feel very confident that we will continue to work together in the future |6.843002483698546|9.373925638987991|3.4727418944167607
<RES>I fear that this type of legislation would cause the people of our country to divide into opposing groups.|If conflict is created , as this bill would create it if the seeds of discord are sown , as this bill would sow them our unity will suffer and our strength will be impaired.|"We are not going to be a country of people who believe in a government that is going to protect the rights and the interests of the American people.| " We are very fortunate to have a representative like you who believes in a law that is designed to protect the rights and the interests of the Filipino people |7.069378987251733|7.553278566005761|2.3542857992118904
<RES>If conflict is created , as this bill would create it if the seeds of discord are sown , as this bill would sow them our unity will suffer and our strength will be impaired.|This bill does not resemble the labor legislation which I have recommended to the Congress.|The bill would make it unlawful for any person to discriminate on the basis of race, color, religion, sex, national origin, disability, age, sex, age group, sex, sexual orientation, gender identity, disability, or any other protected class.| This bill would make it illegal for a state to disc ##rim ##inate on the basis of race , color , gender , religion , national origin , race , color , ethnicity , age group , race , sexual orientation , gender identity , religion , or any other ethnic group |6.248431456662083|6.543964264645815|3.3537554333420054
<RES>This bill does not resemble the labor legislation which I have recommended to the Congress.|The whole purpose of this bill is contrary to the sound growth of our national labor policy.|It does not include the right to organize.| The government will do almost nothing about it |6.035379730335916|10.425596981486985|3.5708457486381238
<RES>The whole purpose of this bill is contrary to the sound growth of our national labor policy.|There is still time to enact progressive , constructive legislation during the present session.|It would be a mistake to think that we are going to have any more growth in the number of jobs created.| It is not always fair to say that we are willing to make such a change in the number of jobs available |9.155390509715948|6.143186726762997|2.87620188127402
<RES>There is still time to enact progressive , constructive legislation during the present session.|We need such legislation to correct abuses and to further our advance in labor management relations.|This is a rush transcript.| This is the most recent session |7.4632016164621335|18.283145660965733|11.222185805813629
<RES>We need such legislation to correct abuses and to further our advance in labor management relations.|We seek in this country today a formula which will treat all men fairly and justly , and which will give our people security in the necessities of life.|The United States has the best record of working with other countries on the issues that are important to the United States, including labor relations, trade relations, and human rights.| The United States has a long history of working with other countries worldwide on issues that are important issues for United States , including labor education , social justice , and economic development |5.483117061583965|9.344537930959543|2.54700410470195
<RES>We seek in this country today a formula which will treat all men fairly and justly , and which will give our people security in the necessities of life.|As our generous American spirit prompts us to aid the world to rebuild , we must , at the same time , construct a better America in which all can share equitably in the blessings of democracy.|The American people are the best of all nations, and we will not tolerate any form of bigotry, bigotry, or bigotry against any group or group of men, or any group or group of women, or any group or group of people.| The American people are the equal of all men , and we will not tolerate any kind of mi ##sma ##tch , big ##ot ##ry ##ry or big ##ot ##ry from any group or group of men , or any group or group of women , or any group or group of men |3.2194366178380935|5.372546213766063|3.6128610853335164
<RES>As our generous American spirit prompts us to aid the world to rebuild , we must , at the same time , construct a better America in which all can share equitably in the blessings of democracy.|The Taft Hartley bill threatens the attainment of this goal.|We must not allow ourselves to be deceived by our political leaders and their political leaders' false promises to the American people, and we must not allow our political leaders to become our puppets in the political system of our own country.| We must not allow ourselves to be falsely told by our own people of our own country ' s importance to the American people , and we must not allow our own people to be mere pawn ##s of the growing power of our own country |6.620056708794434|4.263437947732646|11.096106449051124
<RES>The Taft Hartley bill threatens the attainment of this goal.|For the sake of the future of this Nation , I hope that this bill will not become law.|It is not a bill that will be accepted as a matter of law, and it will be rejected by the courts.| It is not a law that can be challenged as a matter of law , but can can be challenged in the courts |18.173085535358933|26.141954086162666|5.113909025905919
<RES>For the sake of the future of this Nation , I hope that this bill will not become law.|.|It is not my intention to make a law, it is not my intent to make a law.| It is not my right to make a law , but rather my own right to make a law |19.967782925361448|11.788960736384354|2.9656637332151314
<RES>.|Speaker , President , Members of the Congress It is with a heavy heart that I stand before you , my friends and colleagues , in the Congress of the United States.|"It was a great feeling," he says.| " He was an old man , " she said |5.711431360727769|284.0043847859589|48.01491528621291
<RES>Speaker , President , Members of the Congress It is with a heavy heart that I stand before you , my friends and colleagues , in the Congress of the United States.|Only yesterday , we laid to rest the mortal remains of our beloved President , Franklin Delano Roosevelt.|I am the President of the United States of America and I will stand with you today in the face of the challenges facing us.| I am the President of the United States , President of Congress , and I will stand before you , in the face of any danger to you |3.191055923237446|2.869662909070199|1.585263216326654
<RES>Only yesterday , we laid to rest the mortal remains of our beloved President , Franklin Delano Roosevelt.|At a time like this , words are inadequate.|Today, we are celebrating the life of our beloved President Franklin Delano Roosevelt.| Today , there also are the remains of our beloved President Roosevelt ' s wife |9.140613874218182|11.979001602791774|2.7791205881640035
<RES>At a time like this , words are inadequate.|The most eloquent tribute would be a reverent silence.|The first thing you need to know about the "real world" is that there are many different types of people in this world.| The first thing you need to know about the " human race " is that there are many different kinds of people in the world |99.47496134396383|28.066992723101702|3.4780507274995593
<RES>The most eloquent tribute would be a reverent silence.|Yet , in this decisive hour , when world events are moving so rapidly , our silence might be misunderstood and might give comfort to our enemies.|The words of a young man, a young man, a young man, a young man, a young man, a young man, a young man, a young man, a young man, a young man, a young man, a young man.| The words of a young man , a young man , a young man , a young man , a young man , a young man , a young man , a young man , a young man , a young man , a young man , a young man |13.767390252262194|10.59603959862815|2.6251167780927838
<RES>Yet , in this decisive hour , when world events are moving so rapidly , our silence might be misunderstood and might give comfort to our enemies.|In His infinite wisdom , Almighty God has seen fit to take from us a great man who loved , and was beloved by , all humanity.|We have no need for the world to be quiet.| Perhaps it is time for a new day to come |3.3288545135537286|5.296598940138436|10.767153203291542
<RES>In His infinite wisdom , Almighty God has seen fit to take from us a great man who loved , and was beloved by , all humanity.|No man could possibly fill the tremendous void left by the passing of that noble soul.|And the Lord said, I will take away his name from him, and give him a name of my own, that he may know me, that he may be my disciple and my helper, that I may be my guide, that I may be his guide, that he may be my guide, that he may be my guide, and I shall give to hi.| And the Lord said : I will take back his name from him , and give him a name of my own , that he may be mine , that he may be my friend and my help ##er , that he may be my guide , that he may be my guide , that he may be my husband , that he may be my son , and I will make him mine |5.78273901277212|3.8193787229325067|2.6811918810727997
<RES>No man could possibly fill the tremendous void left by the passing of that noble soul.|No words can ease the aching hearts of untold millions of every race , creed and color.|He was a man of the highest character, the most powerful man in the world.| He was a knight of an ancient order , the only living knight in the world |8.628009241804738|19.55697825382578|3.840691167127801
<RES>No words can ease the aching hearts of untold millions of every race , creed and color.|The world knows it has lost a heroic champion of justice and freedom.|I am proud to be the first black American to be elected president of the United States.| I am proud of being the first African American to become the President of the United States |10.175348538634047|8.087987638845908|3.056758706305662
<RES>The world knows it has lost a heroic champion of justice and freedom.|Tragic fate has thrust upon us grave responsibilities.|But the world is not ready to let that be.| The old man was not going to even consider it |19.528574794105396|17.59763420716407|5.6799762968317316
<RES>Tragic fate has thrust upon us grave responsibilities.|We must carry on.|We must be careful not to let our children's lives become the focus of our lives.| We have not been able to forget our father ' s death at the end of the century |44.3378786922419|9.397753278778218|12.737855575825053
<RES>We must carry on.|Our departed leader never looked backward.|The first thing we must do is to stop the flow of money.| The only thing we can do is to stop the passage of time |405.86885196555795|60.79300931102836|12.421297225485663
<RES>Our departed leader never looked backward.|He looked forward and moved forward.|"I'm sure that the rest of us are going to follow the same path," she said.| " I have always felt that these two young men are doing so much better and better better " he said |275.4848559141|59.67299573189359|5.971732073928091
<RES>He looked forward and moved forward.|That is what he would want us to do.|He was very happy with his performance and I was very happy with his performance," he said.| He was not happy with his performance |105.27271008931022|24.13090479885168|22.76177269908981
<RES>That is what he would want us to do.|That is what America will do.|"He would want to make sure that the government doesn't have a hand in what he's doing.| " I want you to make sure that this guy doesn ' t lose interest completely in what he ' s doing |53.40321452021264|18.204516828407787|3.4046787383328225
<RES>That is what America will do.|So much blood has already been shed for the ideals which we cherish , and for which Franklin Delano Roosevelt lived and died , that we dare not permit even a momentary pause in the hard fight for victory.|"I'm not sure what we can do about it," said the president.| " I am still not sure what I can do with you , " said the man |4.78439277751068|73.15200939164001|5.071349924453651
<RES>So much blood has already been shed for the ideals which we cherish , and for which Franklin Delano Roosevelt lived and died , that we dare not permit even a momentary pause in the hard fight for victory.|Today , the entire world is looking to America for enlightened leadership to peace and progress.|We are the only nation to have been able to overcome the great obstacles that have prevented our nation from achieving our great goals.| We are a lucky few who have been able to overcome the many obstacles which have prevented our success in achieving such a goal |3.4650647965807777|3.0221657814944387|1.7402425804069068
<RES>Today , the entire world is looking to America for enlightened leadership to peace and progress.|Such a leadership requires vision , courage and tolerance.|The United States is not a country that is going to be taken for granted.| The concept of leadership is a concept that is not to be easily taken seriously |18.316431051552566|11.382066724492923|9.052820463739495
<RES>Such a leadership requires vision , courage and tolerance.|It can be provided only by a united nation deeply devoted to the highest ideals.|It is not easy to be a good leader, but it is possible.| It is not enough to be a good leader , but it is enough |26.918827188302817|79.67747376036071|7.869156279736318
<RES>It can be provided only by a united nation deeply devoted to the highest ideals.|With great humility I call upon all Americans to help me keep our nation united in defense of those ideals which have been so eloquently proclaimed by Franklin Roosevelt.|The people are the best of the best.| Other nations are devoted only to higher ideals |4.719461720304739|15.302597349234288|4.111350659645394
<RES>With great humility I call upon all Americans to help me keep our nation united in defense of those ideals which have been so eloquently proclaimed by Franklin Roosevelt.|I want in turn to assure my fellow Americans and all of those who love peace and liberty throughout the world that I will support and defend those ideals with all my strength and all my heart.|I call upon all Americans to support me in my effort to restore order and peace to the world.| I call upon all Americans to help me in my efforts to bring peace and order to the world |2.8932399843587198|4.093674189405004|4.819355954792807
<RES>I want in turn to assure my fellow Americans and all of those who love peace and liberty throughout the world that I will support and defend those ideals with all my strength and all my heart.|That is my duty and I shall not shirk it.|I want to assure you that the American people will not allow this to happen.| I also will always remember that my fellow Americans are always fight for those ideals |4.715089503215109|4.241236000555245|2.2467631074180905
<RES>That is my duty and I shall not shirk it.|So that there can be no possible misunderstanding , both Germany and Japan can be certain , beyond any shadow of a doubt , that America will continue the fight for freedom until no vestige of resistance remains We are deeply conscious of the fact that much hard fighting is still ahead of us.|But I am afraid I am not able to do it.| No , no , I do not want to do that |3.05544753346748|18.47821294713698|29.020567388135703
<RES>So that there can be no possible misunderstanding , both Germany and Japan can be certain , beyond any shadow of a doubt , that America will continue the fight for freedom until no vestige of resistance remains We are deeply conscious of the fact that much hard fighting is still ahead of us.|Having to pay such a heavy price to make complete victory certain , America will never become a party to any plan for partial victory To settle for merely another temporary respite would surely jeopardize the future security of all the world.|The American people are not prepared to let us down, but we are determined to fight back.| The American people are not prepared to fight for freedom , we are not prepared to fight it |2.101269969276242|3.929848381385858|3.1042705609321337
<RES>Having to pay such a heavy price to make complete victory certain , America will never become a party to any plan for partial victory To settle for merely another temporary respite would surely jeopardize the future security of all the world.|Our demand has been , and it remains Unconditional Surrender We will not traffic with the breakers of the peace on the terms of the peace.|The American people will never be able to decide for themselves the future of their country, and it will not be easy to do so.| The American people would never be able to claim for themselves the sovereignty of their homeland , and it would never be possible to regain it |5.19564652791165|5.012286626053021|4.483315649746024
<RES>Our demand has been , and it remains Unconditional Surrender We will not traffic with the breakers of the peace on the terms of the peace.|The responsibility for making of the peace and it is a very grave responsibility must rest with the defenders of the peace.|The breakers are not the breakers.| Why not just let it be broken up ?|8.649509820731815|17.144459207072156|13.654914624261172
<RES>The responsibility for making of the peace and it is a very grave responsibility must rest with the defenders of the peace.|We are not unconscious of the dictates of humanity.|The war against terrorism is a war on the human race, a war on the world.| The responsibility for peace is the responsibility of all the people , not just the common people |9.066806641446865|11.311726160339925|2.87620188127402
<RES>We are not unconscious of the dictates of humanity.|We do not wish to see unnecessary or unjustified suffering.|We don't have the power to change the world.| We don ' t have the power to change the world |36.82719098608042|42.58032808172321|6.249613678883634
<RES>We do not wish to see unnecessary or unjustified suffering.|But the laws of God and of man have been violated and the guilty must not go unpunished.|The only way to prevent the suffering of others is to stop the suffering of ourselves.| The only way to end the suffering of others is through ending the suffering of others |24.969204884562924|16.134438582568556|4.044313926591535
<RES>But the laws of God and of man have been violated and the guilty must not go unpunished.|Nothing shall shake our determination to punish the war criminals even though we must pursue them to the ends of the earth.|The Lord has given us the power to make our own laws and to make them known to the world.| A good man also has the power to make his people happy and to reach them out throughout the world |14.283255346137262|16.150780152831892|23.276677127299845
<RES>Nothing shall shake our determination to punish the war criminals even though we must pursue them to the ends of the earth.|Lasting peace can never be secured if we permit our dangerous opponents to plot future wars with impunity at any mountain retreat however distant.|"We must not let them go free.| But this war will not be worth it |8.141903223520972|23.34018434605938|3.950009655341005
<RES>Lasting peace can never be secured if we permit our dangerous opponents to plot future wars with impunity at any mountain retreat however distant.|In this shrinking world , it is futile to seek safety behind geographical barriers.|The United States has a long history of using military force in the Middle East, but it has not been able to do so in the Middle East since the end of the Second World War.| The United Nations has a long history of providing humanitarian assistance to the Middle East , but it never has been able to do so so all the years since the end of the Second World War |11.21152334648126|7.185929047912299|5.538375101221643
<RES>In this shrinking world , it is futile to seek safety behind geographical barriers.|Real security will be found only in law and in justice.|The United States has a long history of being the only country in the world that has not been a victim of a nuclear war.| The American South has a long history of being the only country in the world that has never been the victim of a nuclear war |17.31097633807495|7.012120702302662|6.195237025166641
<RES>Real security will be found only in law and in justice.|Here in America , we have labored long and hard to achieve a social order worthy of our great heritage.|It is a fact that the people of the United States will not be safe from the tyranny of the state, and that the people will not be safe from the tyranny of the state.| It is the belief that the people of the United States will be kept safe from the t ##im ##bre of the state , and that the people will not be protected from the t ##yra ##nny of the state |7.387159884872341|6.862384352018778|8.903315883530931
<RES>Here in America , we have labored long and hard to achieve a social order worthy of our great heritage.|In our time , tremendous progress has been made toward a really democratic way of life.|But in America, we have been forced to choose between two very different visions of our future.| Up until now , we have been forced to choose between the two different things in our life |6.072297561042672|9.965524951954494|4.541171526552887
<RES>In our time , tremendous progress has been made toward a really democratic way of life.|Let me assure the forward looking people of America that there will be no relaxation in our efforts to improve the lot of the common people.|But we are not there yet.| This was new territory for me |6.102226546924132|23.17059495746142|7.038748051343835
<RES>Let me assure the forward looking people of America that there will be no relaxation in our efforts to improve the lot of the common people.|In the difficult days ahead , unquestionably we shall face problems of staggering proportions.|We have been doing this since the dawn of time.| We certainly are not concerned about the problems we face |5.398217320695883|6.597341565278129|2.8004954891135707
<RES>In the difficult days ahead , unquestionably we shall face problems of staggering proportions.|However , with the faith of our fathers in our hearts , we do not fear the future.|We have to be prepared for the worst.| The village was also affected by bad weather |9.442904156176523|20.84766964033252|92.06855077881008
<RES>However , with the faith of our fathers in our hearts , we do not fear the future.|On the battlefields , we have frequently faced overwhelming odds and won At home , Americans will not be less resolute We shall never cease our struggle to preserve and maintain our American way of life.|We don't fear the present; we don't fear the future; we fear the future.| We don ' t fear the present ; we don ' t fear the past ; we fear the future |6.048395347168761|13.41821255833029|2.7762325174958775
<RES>On the battlefields , we have frequently faced overwhelming odds and won At home , Americans will not be less resolute We shall never cease our struggle to preserve and maintain our American way of life.|At this moment , America , along with her brave Allies , is paying again a heavy price for the defense of our freedom.|Our nation will always remain a beacon of hope and hope.| Our lives are spent in a world devoid of social harmony |4.289863692419888|5.959306946993274|3.106435784288707
<RES>At this moment , America , along with her brave Allies , is paying again a heavy price for the defense of our freedom.|With characteristic energy , we are assisting in the liberation of entire nations.|The war is over and the American people are ready to fight back against the tyranny of the American government.| The war is over and the American people are ready to fight again against the t ##ri ##th of the American people |7.0123806751091085|5.331152978717942|5.357977024298508
<RES>With characteristic energy , we are assisting in the liberation of entire nations.|Gradually , the shackles of slavery are being broken by the forces of freedom.|We are assisting in the liberation of the people of Palestine, of all peoples and of all nations.| We are also assisting in liberation of all kinds of nations , including all the nations of foreign origin |29.151375205557756|15.784115970809589|3.216846332290537
<RES>Gradually , the shackles of slavery are being broken by the forces of freedom.|All of us are praying for a speedy victory.|The American Civil Liberties Union (ACLU) has called for an immediate end to the "war on drugs" and calls for the end to the "war on women.| The American Civil Li ##bert ##ies Union ( AC ##L ##U ) has called for an " end to the " war on drugs " " and for an end to the " war on drugs "|34.257123856125595|53.35311090083703|5.667733891731454
<RES>All of us are praying for a speedy victory.|Every day peace is delayed costs a terrible toll.|We are also praying for a speedy victory.| The world tilt ##s for a full blown explosion |23.66883722601687|27.205771185668162|55.41068333595221
<RES>Every day peace is delayed costs a terrible toll.|The armies of liberation today are bringing to an end Hitler s ghastly threat to dominate the world.|"The government is trying to make sure that it doesn't have a problem with this.| " The doctor is going to make sure that she doesn ' t lead to problems , you |10.045261304077533|21.65240201675358|3.9243462566900225
<RES>The armies of liberation today are bringing to an end Hitler s ghastly threat to dominate the world.|Tokyo rocks under the weight of our bombs.|The world is in the grip of a new, terrifying, and dangerous threat.| The Americans are now in need of a new , larger and more powerful army |11.08237413334106|16.162744688970914|10.843583603470552
<RES>Tokyo rocks under the weight of our bombs.|The grand strategy of the United Nations war has been determined due in no small measure to the vision of our departed Commander in Chief.|We have to do it.| The answer came as yes |12.650643001655611|195.52787518712114|37.47764890877326
